,Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Code,COL,Role
1733,Senior Director,123000.00,No,Joint licensee,Community/independent nonprofit,Arlington,Virginia,No,9,10,12,48,Female,White,No,VA,,Director
1734,President and General Manager,121500.00,No,TV station,Community/independent nonprofit,South Bend,Indiana,No,8,8,13,Over 50,Male,White,No,IN,87.2,Manager
1735,Executive Director ,121200.00,No,National network/organization ,,Juneau,Alaska,No,14,14,30,64,Female,White,Yes,AK,,Director
1736,Senior Major Gifts Officer,121000.00,No,Radio station,College/university,Boston,Massachusetts,No,5,5,5,70,Female,White,No,MA,132.6,Executive Officer
1737,General Manager,120000.00,No,Joint licensee,College/university,Marquette,Michigan,No,46,46,46,67,Male,White,No,MI,91.3,Manager
1738,General Manager,120000.00,No,Radio station,College/university,Roanoke,Virginia,No,3,3,32,58,Male,White,Yes,VA,94.1,Manager
1739,Chief Education Officer,120000.00,No,TV station,Community/independent nonprofit,Cincinnati,Ohio,No,25,25,25,69,Female,White,No,OH,92.4,Executive Officer
1740,Host,120000.00,No,National network/organization ,,Saint Paul,Minnesota,No,5,15,15,38,Female,White,No,MN,,Host
1741,"VP, Chief Individual Giving Officer",120000.00,No,TV station,Community/independent nonprofit,St. Louis,Missouri,No,5.5,11.5,11.5,,Male,White,No,MO,89.6,Executive Officer
1742,Director of Business Support ,120000.00,No,Radio station,Community/independent nonprofit,Seattle,Washington,No,2,2,2,52,Female,White,No,WA,124.6,Director
1743,VP of People and Culture,120000.00,No,Joint licensee,Community/independent nonprofit,Colchester,Vermont,No,1,1,1,58,Female,White,No,VT,,Executive Officer
1744,Director of Engineering,118414.00,No,Joint licensee,Community/independent nonprofit,Pittsburgh,Pennsylvania,No,26,51,51,71,Male,White,Yes,PA,93.1,Engineer
1745,Director ,118000.00,No,TV station,School board,Las Vegas,Nevada,Yes,11,11,11,61,Female,American Indian or Alaska Native,No,NV,100.7,Director
1746,"Director, Corporate Support",117000.00,No,Joint licensee,Community/independent nonprofit,Portland,Oregon,No,17,23,24,45,Female,Asian,No,OR,116.5,Director
1747,Sdo,117000.00,No,Joint licensee,College/university,Houston,Texas,No,3,6,6,54,Female,White,No,TX,95.8,
1748,News Director,116250.00,No,Radio station,College/university,Ann Arbor,Michigan,No,14,14,37,57,Male,White,No,MI,99.3,Director
1749,Chief Technology Officer,116000.00,Yes,Joint licensee,Community/independent nonprofit,Kansas City,Missouri,No,12,25,25,67,Male,White,No,MO,91.6,Executive Officer
1750,Senior Product Designer,115128.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,No,2,3,8,32,Female,White,No,DC,,Designer
1751,Sponsorship Director,115000.00,No,National network/organization ,,Philadelphia,Pennsylvania,No,6,6,6,54,Male,White,No,PA,103.4,Director
1752,"Director, Foundation and Government Development",115000.00,No,Joint licensee,Community/independent nonprofit,Arlington,Virginia,No,0,6,6,62,Female,White,No,VA,,Director
