,Q1,Q2,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q14,Q15,Q16,Q17,Code,COL,Role
0,Corporate Support Manager,99999.00,No,Radio station,College/university,Chapel Hill,North Carolina,No,2,3,5,57,Male,White,No,NC,,Manager
1,Morning Edition Host/Producer,99000.00,Yes,Joint licensee,Community/independent nonprofit,nan,Pennsylvania,No,7,20,20,57,Female,White,Yes,PA,,Host
2,"Director, Human Resources",98114.88,No,National network/organization ,,Minneapolis,Minnesota,No,3,3,3,34,Male,Hispanic/Latino,Yes,MN,105.4,HR
3,Assistant Director of Integrated Broadcast Systems,98000.00,Yes,Radio station,College/university,"Washington, D.C.",District of Columbia,No,4,4,4,29,Male,White,No,DC,,Director
4,Producer III,98000.00,No,Joint licensee,Community/independent nonprofit,San Francisco,California,Yes,20,24,24,52,Female,Asian,No,CA,178.6,Producer
5,Digital Membership Director,98000.00,No,Joint licensee,Community/independent nonprofit,Philadelphia,Pennsylvania,No,1,1,5,49,Female,White,No,PA,103.4,Director
6,"Director, Social Media",97000.00,Yes,Joint licensee,College/university,New York,New York,No,2,2,2,39,Male,White,No,NY,128,Director
7,Senior Director,97850.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,No,1,4,4,33,Female,Hispanic/Latino,Yes,DC,,Director
8,"Director, Product Management",97204.00,No,National network/organization ,,Minneapolis,Minnesota,No,4,8,8,37,Male,White,No,MN,105.4,Director
9,Director of Digital Content,97000.00,Yes,Joint licensee,State,Atlanta,Georgia,No,2,4,4,56,Female,White,No,GA,100.3,Director
10,Audience Director ,96000.00,Yes,Radio station,Community/independent nonprofit,Concord,New Hampshire,No,1,10,11,47,Female,White,,NH,108.3,Director
11,Senior Producer,96400.00,Yes,Joint licensee,Community/independent nonprofit,Boston,Massachusetts,No,4,23,25,47,Female,White,No,MA,132.6,Producer
12,Executive Producer for News,96000.00,No,Joint licensee,College/university,Houston,Texas,No,3,19,20,41,Female,White,No,TX,95.8,Producer
13,Anchor/Reporter,96000.00,No,Joint licensee,State,Atlanta,Georgia,No,16,15,17,42,Female,White,No,GA,100.3,Reporter
14,Philanthropy Officer,96000.00,No,Radio station,College/university,Seattle,Washington,No,6,13,13,37,Male,White,No,WA,124.6,Executive Officer
15,Communications Manager,96000.00,No,TV station,State,nan,Iowa,No,6.5,14,6.5,39,Female,White,No,IA,,Manager
16,Reporter,96000.00,Yes,Radio station,College/university,Boston,Massachusetts,Yes,4,2,5,36,Male,Asian,Yes,MA,132.6,Reporter
17,Director of Institutional Giving,95000.00,Yes,National network/organization ,,nan,,,,,,,,,,,,Director
18,"Senior Director, Radio",95000.00,No,Joint licensee,Community/independent nonprofit,Springfield,Massachusetts,Yes,7,7,45,67,Male,White,No,MA,106.5,Director
19,Director of Technology,95000.00,No,Joint licensee,College/university,Columbus,Ohio,No,6,25,25,49,Male,White,No,OH,93.9,Director
20,Associate Director,95000.00,No,Joint licensee,College/university,Madison,Wisconsin,No,1,10,10,47,Female,White,No,WI,99.5,Director
21,Executive Producer,95000.00,No,Radio station,College/university,Boston,Massachusetts,No,1,8,8,42,Male,Biracial/Multiracial,No,MA,132.6,Producer
22,Senior Digital Producer,95720.00,Yes,National network/organization ,,Boston,Massachusetts,No,13,700,21,52,Male,White,No,MA,132.6,Producer
23,Senior Development Officer,95500.00,No,Radio station,Community/independent nonprofit,New York,New York,No,5,5,5,44,Female,White,No,NY,128,Executive Officer
24,General Manager,95172.00,No,Joint licensee,College/university,Bowling Green,Kentucky,No,7,23,28,52,Male,White,No,KY,87,Manager
25,Chief Technology Officer,95167.00,No,Joint licensee,Community/independent nonprofit,Pittston,Pennsylvania,No,25,42,42,65,Male,White,No,PA,,Executive Officer
26,General Manager/Program Director,95000.00,No,Radio station,Community/independent nonprofit,Charlottesville,Virginia,No,7,7,28,52,Male,White,No,VA,102.1,Manager
27,Editor ,95000.00,No,Radio station,College/university,Boston,Massachusetts,Yes,6,13,37,65,Female,White,No,MA,132.6,Editor
28,Executive Director,95000.00,Yes,Radio station,College/university,Oklahoma City,Oklahoma,No,2,20,20,40,Female,White,No,OK,87.3,Director
29,Station Manager ,95000.00,No,Radio station,Community/independent nonprofit,Wilmington,North Carolina,No,1,1,19,58,Male,White,No,NC,99,Manager
30,Content Director,95000.00,Yes,Radio station,State,nan,New Hampshire,No,4,7,18,41,Female,White,No,NH,,Director
31,Senior Producer,95000.00,No,TV station,State,Des Moines,Iowa,No,8,17,17,36,Male,White,No,IA,91.7,Producer
32,Correspondent,95000.00,No,Radio station,Community/independent nonprofit,Los Angeles,California,Yes,3,14,14,62,Female,White,No,CA,140.6,Reporter
33,Series Producer,95000.00,Yes,National network/organization ,,San Francisco,California,No,10,10,10,50,Female,White,No,CA,178.6,Producer
34,Development Director,95000.00,No,Joint licensee,State,nan,,No,9,9,9,45,Male,White,No,,,Director
35,Chief Operating Officer,95000.00,No,Joint licensee,Community/independent nonprofit,nan,California,No,1,8,8,59,Female,White,No,CA,,Executive Officer
36,Senior Producer,95000.00,No,National network/organization ,,Saint Paul,,No,1,2,5,31,Male,White,Yes,,,Producer
37,Major Gifts Officer,95000.00,No,Radio station,Community/independent nonprofit,New York,New York,No,2.5,2.5,2.5,34,Female,White,No,NY,128,Executive Officer
38,"Managing Editor, Communications and Marketing",94000.00,Yes,Joint licensee,Community/independent nonprofit,New York,New York,No,4,9.5,9.5,51,Female,White,No,NY,128,Marketing
39,Sound Engineer,94000.00,Yes,Radio station,Community/independent nonprofit,New York,New York,No,1,6,6,31,Male,White,No,NY,128,Engineer
40,Director of Corporate Support,93000.00,No,Joint licensee,Community/independent nonprofit,Richmond,Virginia,No,3,12,12,42,Female,White,Yes,VA,99.2,Director
41,"Director, Consumer Insights and Analysis",93000.00,No,National network/organization ,,Arlington,Virginia,No,6,10,10,43,Female,White,No,VA,,Director
42,Editor,93000.00,Yes,Radio station,,New York,New York,No,17,17,3.5,44,Female,White,No,NY,128,Editor
43,Video Producer,93000.00,Yes,TV station,,Saint Paul,Minnesota,No,3,3,3,26,Non-binary / third gender,Asian,Yes,MN,,Video Journalist
44,Assistant Director of Finance,92820.00,No,Radio station,College/university,Seattle,Washington,No,3.5,3.5,19,48,Female,White,No,WA,124.6,Director
45,Senior Creative Producer,92700.00,No,National network/organization ,,San Francisco,California,No,1.5,1.5,1.5,38,Female,White,No,CA,178.6,Producer
46,Senior Digital Designer,92000.00,Yes,Joint licensee,,Boston,Massachusetts,No,5,5,5,44,Female,Asian,No,MA,132.6,Designer
47,Correspondent,92000.00,Yes,National network/organization ,,Saint Paul,Minnesota,Yes,5,30,30,52,Female,White,Yes,MN,,Reporter
48,Senior Producer,92000.00,Yes,National network/organization ,,Saint Paul,Minnesota,No,2,15,19,50,Male,Hispanic/Latino,No,MN,,Producer
49,Director,92000.00,Yes,Joint licensee,Community/independent nonprofit,Boston,Massachusetts,No,1,4,8,35,Male,Hispanic/Latino,No,MA,132.6,Director
50,Finance Manager,92000.00,No,TV station,College/university,nan,Wisconsin,No,2,2,2,,,,,WI,,Manager
51,General Manager,91900.00,No,Joint licensee,College/university,Missoula,Montana,Yes,5,31,31,59,Male,White,No,MT,103.4,Manager
52,Senior Writer/Producer On Air Promotions,91000.00,No,TV station,Community/independent nonprofit,New York,New York,Yes,2,21,23,45,Female,White,No,NY,128,Producer
53,Host/Production Manager,91000.00,,Radio station,Community/independent nonprofit,Denver,Colorado,No,3,16,21,46,Male,White,No,CO,112.1,Host
54,Growth Editor,91000.00,No,Radio station,College/university,"Washington, D.C.",District of Columbia,Yes,2,9,9,35,Male,White,No,DC,,Editor
55,Chief Development Officer,90000.00,No,Radio station,Community/independent nonprofit,Providence,Rhode Island,No,1,1,30,55,Female,White,Yes,RI,111.5,Executive Officer
56,Director of Marketing,90000.00,Yes,Joint licensee,Community/independent nonprofit,nan,Virginia,No,2,2,8,34,Female,Black or African American,No,VA,,Marketing
57,Assistant General Counsel,90000.00,,Joint licensee,Community/independent nonprofit,nan,,No,20,6,6,,Male,White,No,,,
58,Producer ,90000.00,Yes,Radio station,,New York,New York,No,4,4,4,37,Female,Biracial/Multiracial,No,NY,128,Producer
59,Salesforce Administrator,90000.00,No,Joint licensee,Community/independent nonprofit,San Francisco,California,Yes,4,4,4,47,Female,Hispanic/Latino,No,CA,178.6,Executive Officer
60,Director of Finance and Administration,90000.00,No,Radio station,Community/independent nonprofit,Orlando,Florida,No,20,1,1,51,Male,White,No,FL,101.4,Director
61,VP of Finance,90000.00,Yes,Joint licensee,Community/independent nonprofit,nan,Virginia,No,1,1,1,44,Female,White,No,VA,,Executive Officer
62,Station Manager,90000.00,Yes,TV station,College/university,Cocoa,Florida,No,4,4,35,66,Male,White,,FL,,Manager
63,Associate Director,90000.00,Yes,National network/organization ,,Alexandria,Virginia,No,3,12,12,43,Male,White,No,VA,,Director
64,Director of Membership and Donor Services,90000.00,No,Joint licensee,College/university,Houston,Texas,No,0,6,6,28,Female,Hispanic/Latino,Yes,TX,95.8,Director
65,Director of Corporate Underwriting,90000.00,No,Joint licensee,School board,Miami,Florida,No,5,5,5,52,Male,White,Yes,FL,110.1,Director
66,"Director, Corporate and Foundation Relations",90000.00,No,Joint licensee,Community/independent nonprofit,Indianapolis,Indiana,No,6,15,15,42,Female,White,No,IN,90.2,Director
67,Radio Host,90000.00,No,Radio station,College/university,Philadelphia,Pennsylvania,No,33,33,42,69,Female,White,No,PA,103.4,Host
68,Managing Editor,90000.00,No,Radio station,College/university,Austin,Texas,No,2,20,26,49,Male,White,Yes,TX,106.6,Editor
69,Program Director,90000.00,No,Radio station,Community/independent nonprofit,Louisville,Kentucky,No,1,5,23,40,Female,Black or African American,No,KY,91.6,Director
70,CEO,90000.00,Yes,National network/organization ,,Paonia,Colorado,No,7,7,20,57,Female,White,Yes,CO,,Executive Officer
71,Senior Producer,90000.00,No,TV station,Community/independent nonprofit,Saint Paul,Minnesota,No,16,20,20,45,Male,White,Yes,MN,,Producer
72,Senior Editor,90000.00,No,Joint licensee,Community/independent nonprofit,Dallas,Texas,No,1.5,5,17,38,Female,White,No,TX,98.5,Editor
73,"Senior Manager, Gift Planning",90000.00,Yes,National network/organization ,,Arlington,Virginia,No,5,5,10,51,Female,White,No,VA,,Manager
74,Digital Content Manager,90000.00,No,TV station,Community/independent nonprofit,Saint Paul,Minnesota,No,2.5,5,5,43,Female,White,No,MN,,Manager
75,Executive Producer of Multimedia Content,90000.00,Yes,TV station,Community/independent nonprofit,Denver,Colorado,No,3,5,5,50,Female,White,No,CO,112.1,Producer
76,Product Manager,90000.00,Yes,National network/organization ,,Arlington,Virginia,No,0.5,3,3,28,Female,Asian,No,VA,,Manager
77,"Sales Manager, Corporate Support",90000.00,No,TV station,College/university,Phoenix,Arizona,No,2,2,2,42,Female,White,No,AZ,104.3,Manager
78,General Manager,89000.00,No,Radio station,College/university,Charlottesville,Virginia,No,10,10,22,40,Male,White,Yes,VA,102.1,Manager
79,Director of Communications,89000.00,Yes,TV station,Community/independent nonprofit,St. Louis,Missouri,No,1,6,7,32,Female,White,No,MO,89.6,Director
80,Associate Director Communications ,89000.00,No,TV station,College/university,Salt Lake City,Utah,No,11,25,25,66,Male,White,No,UT,105.9,Director
81,Director of Finance,89000.00,Yes,Radio station,Community/independent nonprofit,Tacoma,Washington,No,5,15,20,45,Male,Black or African American,No,WA,,Director
82,Host/Producer,89000.00,Yes,Radio station,Community/independent nonprofit,Chicago,Illinois,Yes,33,8,12,62,Female,Hispanic/Latino,No,IL,100.1,Host
83,Human Resources Manager,89000.00,No,Joint licensee,Community/independent nonprofit,Portland,Oregon,No,12,12,12,60,Male,White,No,OR,116.5,HR
84,Corporate Development Director,88000.00,No,TV station,Community/independent nonprofit,Fort Wayne,Indiana,No,8,10,14,61,Female,White,No,IN,86.8,Director
85,Director of Technology,88000.00,Yes,Radio station,Community/independent nonprofit,Asheville,North Carolina,No,7,7,7,42,Male,White,Yes,NC,103.3,Director
86,Daily News Editor,88000.00,No,Radio station,College/university,Chapel Hill,North Carolina,No,1,1,21,41,Female,White,No,NC,,Editor
87,Line Producer,88000.00,Yes,Radio station,Community/independent nonprofit,Saint Paul,Minnesota,No,1,6,11,35,Male,White,No,MN,,Producer
88,Product Manager,88000.00,No,National network/organization ,,Arlington,Virginia,No,2,4,4,46,Female,White,No,VA,,Manager
89,Director of Marketing,88000.00,No,Joint licensee,Community/independent nonprofit,Hartford,Connecticut,No,3,3,3,56,Female,White,Yes,CT,104.8,Marketing
90,Director Corporate Support,87500.00,No,Joint licensee,Community/independent nonprofit,Rochester,New York,No,8,11,14,41,Female,White,No,NY,96.6,Director
91,VP of Development,87000.00,No,TV station,Community/independent nonprofit,Reno,Nevada,No,3,3,3,30,Male,White,Yes,NV,107.4,Executive Officer
92,Producer ,87550.00,,National network/organization ,,"Washington, D.C.",Virginia,No,1.5,1.5,3,35,Female,Black or African American,,VA,,Producer
93,Executive Producer News and Public Affairs,87000.00,No,TV station,College/university,Phoenix,Arizona,No,5,5,5,52,Female,White,Yes,AZ,104.3,Producer
94,"Managing Producer, Distribution and Acquisitions",87000.00,Yes,Joint licensee,Community/independent nonprofit,San Francisco,California,No,1.5,5,5,33,Female,White,No,CA,178.6,Producer
95,Senior Developer,86175.36,Yes,TV station,Community/independent nonprofit,Boston,Massachusetts,No,4,7.75,7.75,38,Male,White,Yes,MA,132.6,Engineer
96,VP,86132.00,No,Joint licensee,Community/independent nonprofit,Buffalo,New York,No,2,21,21,46,Female,White,No,NY,97.3,Executive Officer
97,Executive Director,86000.00,Yes,National network/organization ,,Philadelphia,Pennsylvania,No,12,40,46,67,Male,White,No,PA,103.4,Director
98,Project Manager,86000.00,,Radio station,College/university,nan,North Carolina,No,5,5,30,,Male,White,No,NC,,Manager
99,Executive Producer ,86000.00,Yes,TV station,Community/independent nonprofit,Boston,Massachusetts,No,6,26,28,54,Female,Hispanic/Latino,No,MA,132.6,Producer
100,Archive Manager,86000.00,No,Radio station,Community/independent nonprofit,New York,New York,No,2,10,10,53,Male,Other,No,NY,128,Manager
101,Managing Producer,86000.00,Yes,Joint licensee,Community/independent nonprofit,Cleveland,Ohio,No,4,7,7,59,Female,White,No,OH,90,Producer
102,"Associate Director, Human Resources",86000.00,Yes,Joint licensee,Community/independent nonprofit,nan,,No,1,5,5,33,Female,White,No,,,HR
103,"Senior Accountant, Revenue Management",85000.00,Yes,National network/organization ,,nan,New York,No,,,,,,,,NY,,Accountant
104,Station Manager,85000.00,No,Radio station,Community/independent nonprofit,Dallas,Texas,No,25,34,35,59,Male,White,No,TX,98.5,Manager
105,Producer,85000.00,Yes,National network/organization ,,New York,New York,No,3,8,8,31,Male,Biracial/Multiracial,No,NY,128,Producer
106,Director of Marketing,85000.00,Yes,Joint licensee,Community/independent nonprofit,Philadelphia,Pennsylvania,No,3,7,7,36,Female,White,No,PA,103.4,Marketing
107,Director of Content,85000.00,No,TV station,Community/independent nonprofit,Cincinnati and Dayton,Ohio,No,6,6,6,36,Male,White,No,OH,,Director
108,Research Manager,85000.00,Yes,TV station,Community/independent nonprofit,New York,New York,No,5,5,5,45,Female,Hispanic/Latino,No,NY,128,Manager
109,Director of Development and Marketing,85000.00,No,Joint licensee,Community/independent nonprofit,Binghamton,New York,No,3,3,18,55,Male,White,Yes,NY,93.3,Marketing
110,Chief Engineer/IT Manager,85000.00,No,Radio station,Community/independent nonprofit,Orlando,Florida,No,14,14,40,66,Male,White,No,FL,101.4,Engineer
111,Music Director/Morning Show Host,85000.00,No,Radio station,Community/independent nonprofit,Newark,New Jersey,No,36,39,39,71,Male,White,,NJ,,Host
112,News Director,85000.00,No,Radio station,College/university,Salt Lake City,Utah,No,1,17,17,51,Female,White,No,UT,105.9,Director
113,Senior Reporter,85000.00,No,Radio station,College/university,Boston,Massachusetts,Yes,5,5,5,34,Female,White,Yes,MA,132.6,Reporter
114,Director of Early Learning ,85000.00,No,TV station,Community/independent nonprofit,St. Louis,Missouri,No,1,4,4,43,Female,Biracial/Multiracial,No,MO,89.6,Director
115,Director of Engagement and Learning,85000.00,No,TV station,Community/independent nonprofit,St. Louis,Missouri,No,1,4,4,34,Female,White,No,MO,89.6,Director
116,Station Sales Reresentative,85000.00,No,National network/organization ,,Saint Paul,Minnesota,No,3,3,3,43,Female,White,No,MN,,
117,"Manager, Multiplatform Creative",85000.00,Yes,National network/organization ,,"Washington, D.C.",Virginia,No,0,2,2,27,Female,White,,VA,,Manager
118,Outreach Strategist,85000.00,Yes,National network/organization ,,San Francisco,California,No,2,2,2,43,Male,White,Yes,CA,178.6,
119,General Manager,84400.00,Yes,Radio station,College/university,Springfield,Illinois,No,8,13,22,57,Male,White,Yes,IL,87.5,Manager
120,Director of Finance,84102.00,No,Joint licensee,College/university,Fort Myers,Florida,No,6,6,17,55,Male,White,No,FL,101.5,Director
121,Associate Producer,84000.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,Yes,2,6,7,31,Male,White,No,DC,,Producer
122,Manager,84000.00,Yes,Joint licensee,Community/independent nonprofit,New York,New York,No,5,5,5,45,Female,Hispanic/Latino,No,NY,128,Manager
123,Anchor/Reporter ,84000.00,Yes,Radio station,College/university,Houston,Texas,No,12,12,12,,Female,White,No,TX,95.8,Reporter
124,Account Executive and Sponsorship Manager,84000.00,No,Radio station,Community/independent nonprofit,Seattle,Washington,No,11,11,11,55,Female,Hispanic/Latino,No,WA,124.6,Manager
125,"Executive Producer, Video",84000.00,Yes,Joint licensee,State,nan,,No,10,7,7,47,Female,White,No,,,Video Journalist
126,Series Producer,84000.00,Yes,Radio station,,Boston,Massachusetts,No,1,2,4,31,Male,White,No,MA,132.6,Producer
127,Senior Director of Radio Operations ,84000.00,No,Joint licensee,Community/independent nonprofit,Kansas City,Missouri,No,20,3,3,41,Male,White,No,MO,91.6,Director
128,Senior Editor,83600.00,No,Radio station,College/university,Ann Arbor,Michigan,No,4,16,21,46,Female,White,Yes,MI,99.3,Editor
129,Editor,83200.00,No,Radio station,College/university,Seattle,Washington,No,1,1,7,38,Male,Asian,No,WA,124.6,Editor
130,Producer,83160.00,No,National network/organization ,,New York,New York,No,3,3.5,6.5,28,Male,Biracial/Multiracial,Yes,NY,128,Producer
131,Topics Editor,83500.00,No,Radio station,Community/independent nonprofit,Denver,Colorado,No,1,2.5,2.5,36,Male,Hispanic/Latino,No,CO,112.1,Editor
132,Senior Broadcast Specialist/Host,83232.00,No,Radio station,College/university,Madison,Wisconsin,No,3,5,16,47,Female,White,No,WI,99.5,Specialist
133,Director of Content For Television,83000.00,Yes,Joint licensee,College/university,Columbus,Ohio,No,5,20,40,60,Female,White,Yes,OH,93.9,Director
134,Assignment Editor,83000.00,No,Radio station,Community/independent nonprofit,Boston,Massachusetts,Yes,0,0,17,47,Female,Hispanic/Latino,No,MA,132.6,Editor
135,Host/Announcer,83000.00,No,Radio station,College/university,Houston,Texas,No,12,12,17,50,Male,White,No,TX,95.8,Host
136,Executive Producer/Host,83000.00,No,Joint licensee,College/university,nan,Ohio,No,12,12,12,,,White,No,OH,,Host
137,Digital Support Manager,83000.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,No,7,7,7,54,Prefer not to say,White,No,DC,,Manager
138,Digital Marketing Manager,83000.00,Yes,TV station,Community/independent nonprofit,Saint Paul,Minnesota,No,3,6,6,42,Male,White,No,MN,,Marketing
139,Digital Projects Manager,83000.00,No,Radio station,College/university,nan,California,No,5,6,6,,Female,,No,CA,,Manager
140,Host/Senior Producer,82000.00,No,Joint licensee,School board,Atlanta,Georgia,No,3,13,16,41,Male,White,No,GA,100.3,Host
141,Corporate Sponsorship Director,82000.00,Yes,Joint licensee,State,Columbia,South Carolina,No,12,12,12,60,Female,White,No,SC,91.9,Director
142,Associate Producer ,82000.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,Yes,3.5,5,6,28,Female,Asian,No,DC,,Producer
143,Program Director,82500.00,No,Radio station,College/university,Madison,Wisconsin,No,8,24,24,50,Female,White,No,WI,99.5,Director
144,Communications Director,82000.00,No,Joint licensee,College/university,East Lansing,Michigan,Yes,28,28,28,62,Male,White,No,MI,,Director
145,Audience Engagement Editor,82000.00,Yes,National network/organization ,,Los Angeles,Minnesota,No,1.5,6,6,34,Female,Hispanic/Latino,No,MN,,Editor
146,Marketing Manager,82000.00,No,National network/organization ,,Saint Paul,Minnesota,No,1,1,6,35,Female,White,No,MN,,Marketing
147,Support Engineer ,82000.00,No,National network/organization ,,Cambridge,Massachusetts,No,3,6,6,48,Female,White,Yes,MA,,Engineer
148,Junior Software Engineer,82000.00,No,National network/organization ,,"Washington, D.C.",District of Columbia,No,2,3,3,29,Non-binary / third gender,Biracial/Multiracial,No,DC,,Engineer
149,Reporter ,82000.00,Yes,Radio station,College/university,"Washington, D.C.",District of Columbia,Yes,3,3,3,33,Male,White,No,DC,,Reporter
150,Junior Software Engineer,81965.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,No,0,0,0,21,Female,Asian,No,DC,,Engineer
151,Program Director,81500.00,Yes,TV station,Community/independent nonprofit,Detroit,Michigan,No,3,3,8,53,Female,White,No,MI,93.2,Director
152,Director of Major and Planned Giving,81000.00,No,TV station,College/university,Madison,Wisconsin,No,6,16,21,47,Male,White,No,WI,99.5,Director
153,VP of Operations,81000.00,Yes,Radio station,Community/independent nonprofit,Nashville,Tennessee,No,9,9,12,44,Male,White,No,TN,100.1,Executive Officer
154,Consultant ,80000.00,Yes,Radio station,College/university,Los Angeles,California,No,10,20,30,60,Male,White,No,CA,140.6,
155,Underwriting Account Executive,80000.00,Yes,Radio station,College/university,Monterey,California,No,4,4,12,33,Female,White,No,CA,,Accountant
156,Director ,80000.00,Yes,TV station,,"Washington, D.C.",Virginia,No,7,10,10,40,Female,Black or African American,No,VA,,Director
157,Director of Development,80000.00,Yes,Radio station,Community/independent nonprofit,Las Vegas,Nevada,No,2,10,10,38,Female,White,No,NV,100.7,Director
158,Account Manager Corporate Support,80000.00,Yes,Radio station,Community/independent nonprofit,Nashville,Tennessee,No,8,8,8,36,Female,White,No,TN,100.1,Manager
159,Executive Assistant to the CEO,80000.00,No,Joint licensee,Community/independent nonprofit,Portland,Oregon,No,8,8,8,43,Male,White,No,OR,116.5,Executive Officer
160,"Managing Editor, Digital Content ",80000.00,No,Radio station,College/university,Sacramento,California,No,3,4,7,37,Male,White,No,CA,120.3,Editor
161,News Anchor/Editor,80000.00,,Radio station,College/university,Sacramento,California,No,1,4,7,54,Male,White,Yes,CA,120.3,Reporter
162,Programming Manager,80000.00,Yes,Joint licensee,Community/independent nonprofit,Boston,Massachusetts,No,2,4,6,28,Female,White,No,MA,132.6,Manager
163,Major Gifts Officer,80000.00,No,Radio station,Community/independent nonprofit,Los Angeles,California,No,2,2,2,59,Female,Other,No,CA,140.6,Other
164,Controller,80000.00,Yes,Radio station,Community/independent nonprofit,Asheville,North Carolina,No,1,1,1,42,Female,White,No,NC,103.3,
165,Senior Reporter,80017.00,Yes,Radio station,Community/independent nonprofit,Los Angeles,California,Yes,5,5,10,32,Male,White,No,CA,140.6,Reporter
166,Chief Engineer Network Operations,80000.00,No,Joint licensee,State,Lincoln,Nebraska,No,22,30,30,63,Male,White,No,NE,94.7,Engineer
167,Senior Editor,80000.00,No,TV station,State,Saint Paul,Minnesota,Yes,17,17,23,62,Male,White,No,MN,,Editor
168,Assistant Director of Membership,80000.00,Yes,Radio station,College/university,"Washington, D.C.",District of Columbia,No,3,3,22,38,Female,White,Yes,DC,,Director
169,Content Director ,80000.00,No,Radio station,Community/independent nonprofit,Asheville,North Carolina,No,1,1,20,47,Female,White,No,NC,103.3,Director
170,"Senior Manager, Content and Development",80000.00,Yes,National network/organization ,,San Francisco,California,No,5,12,13,39,Female,Hispanic/Latino,No,CA,178.6,Manager
171,Associate Editor,80000.00,Yes,Radio station,College/university,Los Angeles,California,Yes,2,7,12,42,Male,White,No,CA,140.6,Editor
172,General Manager,80000.00,No,Radio station,Community/independent nonprofit,nan,New York,No,2,2,12,51,Male,White,No,NY,,Manager
173,Director,80000.00,Yes,National network/organization ,,Arlington,Virginia,No,2,10,10,41,Female,White,No,VA,,Director
174,Senior Manager ,80000.00,Yes,National network/organization ,,New York,New York,No,5,10,10,31,Prefer not to say,,No,NY,128,Manager
175,Audience Editor,80000.00,Yes,Joint licensee,Community/independent nonprofit,Dallas,Texas,No,1.5,1.5,6,33,Female,Black or African American,Yes,TX,98.5,Editor
176,Senior Director Systems Engineering,80000.00,Yes,Joint licensee,Community/independent nonprofit,Syracuse,New York,No,2,5,5,50,Male,White,Yes,NY,95.1,Engineer
177,Impact Producer,80000.00,Yes,TV station,Community/independent nonprofit,Boston,Massachusetts,No,1.5,1.5,4.5,31,Male,Hispanic/Latino,No,MA,132.6,Producer
178,Director Education and Engagement,80000.00,Yes,Joint licensee,Community/independent nonprofit,Anchorage,Alaska,No,2,4,4,,Female,Black or African American,Yes,AK,110.7,Director
179,Director Human Resources,80000.00,No,Joint licensee,Community/independent nonprofit,Bethlehem,Pennsylvania,No,1.5,1.5,1.5,61,Female,White,No,PA,,HR
180,Reporter,80000.00,Yes,National network/organization ,,New York,New York,No,1,1,1,29,Male,Biracial/Multiracial,No,NY,128,Reporter
181,News Editor,79200.00,No,Joint licensee,College/university,San Diego,California,No,7,11,13,57,Female,White,Yes,CA,136.2,Editor
182,Broadcast Operations Manager,79000.00,No,Radio station,Community/independent nonprofit,Saint Paul,Minnesota,No,2,13,13,42,Female,White,No,MN,,Manager
183,Executive Assistant ,79000.00,Yes,National network/organization ,,Arlington,Virginia,No,6,6,6,42,Female,Biracial/Multiracial,No,VA,,Other
184,Video Producer,79000.00,Yes,National network/organization ,,"Washington, D.C.",District of Columbia,Yes,5,5,6,33,Male,White,No,DC,,Video Journalist
185,Director of Human Resources,79000.00,No,Joint licensee,Community/independent nonprofit,Harrisburg,Pennsylvania,No,5,5,5,36,Male,White,No,PA,95.8,HR
186,Assistant Director of Finance,79000.00,Yes,Joint licensee,College/university,Phoenix,Arizona,No,2,2,2,32,Male,Black or African American,Yes,AZ,104.3,Director
187,Marketing and Communications Director,79700.00,No,Radio station,College/university,nan,,No,10,10,10,52,Male,White,No,,,Marketing
188,"Senior Manager, Marketing ",79000.00,No,National network/organization ,,Boston,Massachusetts,No,2,2,12,59,Female,Biracial/Multiracial,Yes,MA,132.6,Marketing
189,Director of Digital Services,78000.00,Yes,Radio station,College/university,Canton,New York,No,20,20,20,50,Male,White,No,NY,,Director
190,Music Director ,78000.00,No,National network/organization ,,Saint Paul,Minnesota,No,0.5,0.5,15,36,Male,White,No,MN,,Director
191,Program Director,78900.00,Yes,Joint licensee,Community/independent nonprofit,Harrisburg,Pennsylvania,No,9,9,21,41,Male,White,No,PA,95.8,Director
192,Human Resource Director ,78500.00,No,TV station,Community/independent nonprofit,Tampa,Florida,No,4,4,4,62,Female,White,No,FL,101.4,Director
193,News Director ,78000.00,No,Radio station,College/university,Detroit,Michigan,No,13,29,29,55,Male,Black or African American,No,MI,93.2,Director
194,News Director,78000.00,No,Radio station,Community/independent nonprofit,Des Moines,Iowa,No,6,6,21,56,Male,White,Yes,IA,91.7,Director
195,Reporter,78000.00,Yes,Radio station,Community/independent nonprofit,Pasadena,California,Yes,1,1,11,33,Female,Biracial/Multiracial,Yes,CA,,Reporter
196,Membership Director,78000.00,No,Radio station,Community/independent nonprofit,Concord,New Hampshire,No,1.5,1.5,1.5,32,Female,White,No,NH,108.3,Director
197,Production Manager,77000.00,Yes,TV station,Community/independent nonprofit,Boston,Massachusetts,No,21,21,21,,Male,White,No,MA,132.6,Manager
198,Visuals Editor,77500.00,No,Joint licensee,,Portland,Oregon,No,20,1,1,51,Female,Hispanic/Latino,No,OR,116.5,Editor
